last_name,first_name,middle_name,full_name,type,party
Murphy,Christopher,S.,Christopher Murphy,sen,Democrat
Murray,Patty,,Patty Murray,sen,Democrat
Paul,Rand,,Rand Paul,sen,Republican
Peters,Gary,C.,Gary C. Peters,sen,Democrat
Portman,Robert,J.,Rob Portman,sen,Republican
Rubio,Marco,,Marco Rubio,sen,Republican
Schumer,Charles,E.,Charles E. Schumer,sen,Democrat
Scott,Tim,,Tim Scott,sen,Republican
Shelby,Richard,C.,Richard C. Shelby,sen,Republican
Thune,John,,John Thune,sen,Republican
Toomey,Patrick,J.,Patrick J. Toomey,sen,Republican
Van Hollen,Chris,,Chris Van Hollen,sen,Democrat
Wyden,Ron,,Ron Wyden,sen,Democrat
Young,Todd,C.,Todd Young,sen,Republican
Schatz,Brian,Emanuel,Brian Schatz,sen,Democrat
Cotton,Tom,,Tom Cotton,sen,Republican
Sinema,Kyrsten,,Kyrsten Sinema,sen,Democrat
Duckworth,Tammy,,Tammy Duckworth,sen,Democrat
Warren,Elizabeth,,Elizabeth Warren,sen,Democrat
King,Angus,S.,"Angus S. King, Jr.",sen,Independent
Daines,Steve,,Steve Daines,sen,Republican
Cramer,Kevin,,Kevin Cramer,sen,Republican
Fischer,Deb,,Deb Fischer,sen,Republican
Cruz,Ted,,Ted Cruz,sen,Republican
Kaine,Timothy,,Tim Kaine,sen,Democrat
Booker,Cory,Anthony,Cory A. Booker,sen,Democrat
Sullivan,Dan,,Dan Sullivan,sen,Republican
Ernst,Joni,,Joni Ernst,sen,Republican
Tillis,Thom,,Thom Tillis,sen,Republican
Rounds,Mike,,Mike Rounds,sen,Republican
Sasse,Benjamin,Eric,Ben Sasse,sen,Republican
Kennedy,John,Neely,John Kennedy,sen,Republican
Hassan,Margaret,Wood,Margaret Wood Hassan,sen,Democrat
Cortez Masto,Catherine,,Catherine Cortez Masto,sen,Democrat
Marshall,Roger,,Roger Marshall,sen,Republican
Rosen,Jacky,,Jacky Rosen,sen,Democrat
Smith,Tina,Flint,Tina Smith,sen,Democrat
Hyde-Smith,Cindy,,Cindy Hyde-Smith,sen,Republican
Scott,Rick,,Rick Scott,sen,Republican
Braun,Mike,,Mike Braun,sen,Republican
Hawley,Joshua,,Josh Hawley,sen,Republican
Romney,Mitt,,Mitt Romney,sen,Republican
Kelly,Mark,,Mark Kelly,sen,Democrat
Lummis,Cynthia,M.,Cynthia M. Lummis,sen,Republican
Tuberville,Tommy,Hawley,Tommy Tuberville,sen,Republican
Hickenlooper,John,Wright,John W. Hickenlooper,sen,Democrat
Hagerty,Bill,Francis,Bill Hagerty,sen,Republican
Padilla,Alejandro,,Alex Padilla,sen,Democrat
Ossoff,Jon,,Jon Ossoff,sen,Democrat
Warnock,Raphael,Gamaliel,Raphael G. Warnock,sen,Democrat
