Team,Wins,League
Real Madrid CF,33,La Liga
Barcelona FC,26,La Liga
Atletico Madrid,10,La Liga
Athletic Bilbao,8,La Liga
Valencia CF,6,La Liga
Real Sociedad,2,La Liga
Deportivo,1,La Liga
Sevilla,1,La Liga
Real Betis,1,La Liga
Racing Santander,0,La Liga
Las Palmas,0,La Liga
Zaragoza,0,La Liga
Sporting Gijón,0,La Liga
Villarreal,0,La Liga
