Team,Wins,League
Juventus,35,Serie A
A.C. Milan,18,Serie A
Inter Milan,18,Serie A
Genoa,9,Serie A
Torino,7,Serie A
Bologna,7,Serie A
Pro Vercelli,7,Serie A
A.S. Roma,3,Serie A
Lazio,2,Serie A
Napoli,2,Serie A
Fiorentina,2,Serie A
Sampdoria,1,Serie A
Hellas Verona,1,Serie A
Cagliari,1,Serie A
Novese,1,Serie A
Casale,1,Serie A
