Movie_Name,Director,Year,Jump_Count,Jump_Scare_Rating,On_Netflix_US,IMDB_Rating
Zodiac,David Fincher,2007,3,0.5,No,7.7
1922,Zak Hilditch,2017,2,1,Yes,6.5
Cat People,Jacques Tourneur,1942,2,1,No,7.4
Dead Calm,Phillip Noyce,1989,2,1,No,6.8
Pet,Carles Torrens,2016,2,1,No,5.7
The Collector,Marcus Dunstan,2009,2,1,No,6.4
The Texas Chain Saw Massacre,Tobe Hooper,1974,2,1,No,7.5
The Transfiguration,Michael O’Shea,2016,2,1,No,5.9
Altered States,Ken Russell,1980,2,0.5,No,6.9
Cargo,"Ben Howling, Yolanda Ramke",2017,2,0.5,Yes,6.8
Dark Shadows,Tim Burton,2012,2,0.5,No,6.2
Hannibal,Ridley Scott,2001,2,0.5,No,6.8
Here Alone,Rod Blackhurst,2016,2,0.5,Yes,5.6
Hostel,Eli Roth,2005,2,0.5,No,5.9
Joy Ride,John Dahl,2001,2,0.5,No,6.6
Knock Knock,Eli Roth,2015,2,0.5,No,4.9
Let The Right One In,Tomas Alfredson,2008,2,0.5,No,8
Mayhem,Joe Lynch,2017,2,0.5,No,6.5
Psycho,Alfred Hitchcock,1960,2,0.5,No,8.6
Resolution,"Justin Benson, Aaron Moorhead",2012,2,0.5,No,6.2
Saw VI,Kevin Greutert,2009,2,0.5,No,6
Suspiria,Luca Guadagnino,2018,2,0.5,No,7.1
The Abyss,James Cameron,1989,2,0.5,No,7.6
The Fly,David Cronenberg,1986,2,0.5,No,7.5
The Neon Demon,Nicolas Winding Refn,2016,2,0.5,No,6.2
The Sacrament,Ti West,2013,2,0.5,No,6.1
The Shape of Water,Guillermo del Toro,2017,2,0.5,No,8.1
They Look Like People,Perry Blackshear,2015,2,0.5,No,6.1
Unsane,Steven Soderbergh,2018,2,0.5,No,6.7
Blade,Stephen Norrington,1998,1,1,No,7.1
Cyberbully,Ben Chanan,2015,1,1,No,7
Mulholland Drive,David Lynch,2001,1,1,No,8
Nocturnal Animals,Tom Ford,2016,1,1,No,7.5
Amnesiac,Michael Polish,2015,1,0.5,No,4.3
Audition,Takashi Miike,1999,1,0.5,No,7.2
Berlin Syndrome,Cate Shortland,2017,1,0.5,No,6.3
Bram Stoker's Dracula,Francis Ford Coppola,1992,1,0.5,No,7.5
Cam,Daniel Goldhaber,2018,1,0.5,Yes,6
Carrie,Brian De Palma,1976,1,0.5,No,7.4
Cube,Vincenzo Natali,1997,1,0.5,No,7.3
Europa Report,Sebastián Cordero,2013,1,0.5,No,6.5
Funny Games,Michael Haneke,1997,1,0.5,No,7.6
Funny Games,Michael Haneke,2007,1,0.5,No,6.5
Goodnight Mommy,"Severin Fiala, Veronika Franz",2014,1,0.5,No,6.7
Green Room,Jeremy Saulnier,2015,1,0.5,Yes,7.2
Hour of the Wolf,Ingmar Bergman,1968,1,0.5,No,7.7
Kill List,Ben Wheatley,2011,1,0.5,No,6.3
Lake Mungo,Joel Anderson,2008,1,0.5,No,6.1
Megan Is Missing,Michael Goi,2011,1,0.5,No,4.9
Nerve,"Henry Joost, Ariel Schulman",2016,1,0.5,No,6.7
One Hour Photo,Mark Romanek,2002,1,0.5,No,6.8
Pontypool,Bruce McDonald,2008,1,0.5,No,6.7
Seven,David Fincher,1995,1,0.5,No,8.6
Sleepy Hollow,Tim Burton,1999,1,0.5,No,7.4
Spring,"Justin Benson, Aaron Moorhead",2014,1,0.5,No,6.6
Stake Land,Jim Mickle,2010,1,0.5,No,6.5
The Boy,Craig Macneill,2015,1,0.5,No,5.4
The Conspiracy,Christopher MacBride,2012,1,0.5,No,6.4
The Conversation,Francis Ford Coppola,1974,1,0.5,No,7.9
The Happening,M. Night Shyamalan,2008,1,0.5,No,5
The Midnight Meat Train,Ryûhei Kitamura,2008,1,0.5,No,6.2
The Omen,Richard Donner,1976,1,0.5,No,7.6
The Perfection,Richard Shepard,2019,1,0.5,Yes,6.1
The Return of the Living Dead,Dan O'Bannon,1985,1,0.5,No,7.3
Wait Until Dark,Terence Young,1967,1,0.5,No,7.9
Prevenge,Alice Lowe,2016,0,0.5,No,6.1
A Girl Walks Home Alone at Night,Ana Lily Amirpour,2014,0,0,No,7.1
Berberian Sound Studio,Peter Strickland,2012,0,0,No,6.2
Bone Tomahawk,S. Craig Zahler,2015,0,0,No,7.1
Dementia,Mike Testin,2015,0,0,No,5
Dismissed,Benjamin Arfmann,2017,0,0,No,5.8
Frailty,Bill Paxton,2001,0,0,No,7.3
Hannibal Rising,Peter Webber,2007,0,0,No,6.2
Hounds of Love,Ben Young,2016,0,0,No,6.6
May,Lucky McKee,2002,0,0,No,6.7
My Friend Dahmer,Marc Meyers,2017,0,0,No,6.5
Only Lovers Left Alive,Jim Jarmusch,2013,0,0,No,7.3
Rosemary's Baby,Roman Polanski,1968,0,0,No,8
Searching,Aneesh Chaganty,2018,0,0,No,7.7
Session 9,Brad Anderson,2001,0,0,No,6.5
The ABCs of Death,Various Directors,2012,0,0,No,4.7
The Blair Witch Project,"Daniel Myrick, Eduardo Sánchez",1999,0,0,No,6.4
The Dead Don’t Die,Jim Jarmusch,2019,0,0,No,5.6
The Devil's Rejects,Rob Zombie,2005,0,0,No,6.9
The Eyes of My Mother,Nicolas Pesce,2016,0,0,Yes,6.3
The Harvest,John McNaughton,2013,0,0,No,5.9
The Limehouse Golem,Juan Carlos Medina,2016,0,0,No,6.4
The Little Stranger,Lenny Abrahamson,2018,0,0,No,5.6
The Love Witch,Anna Biller,2016,0,0,No,6.2
The Ninth Gate,Roman Polanski,1999,0,0,No,6.7
The Ones Below,David Farr,2015,0,0,Yes,6.1
The Silence of the Lambs,Jonathan Demme,1991,0,0,No,8.6
Trash Fire,Richard Bates Jr.,2016,0,0,Yes,5.8
Tusk,Kevin Smith,2014,0,0,Yes,5.4
Wolf Creek,Greg McLean,2005,0,0,No,6.3
