year,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
2010–11,1,Manchester United (C),38,23,11,4,78,37,41,80,2011–12 UEFA Champions League Group stage
2010–11,2,Chelsea,38,21,8,9,69,33,36,71,2011–12 UEFA Champions League Group stage
2010–11,3,Manchester City,38,21,8,9,60,33,27,71,2011–12 UEFA Champions League Group stage
2010–11,4,Arsenal,38,19,11,8,72,43,29,68,2011–12 UEFA Champions League Play-off round
2010–11,5,Tottenham Hotspur,38,16,14,8,55,46,9,62,2011–12 UEFA Europa League Play-off round
2010–11,6,Liverpool,38,17,7,14,59,44,15,58,
2010–11,7,Everton,38,13,15,10,51,45,6,54,
2010–11,8,Fulham,38,11,16,11,49,43,6,49,2011–12 UEFA Europa League First qualifying round[b]
2010–11,9,Aston Villa,38,12,12,14,48,59,-11,48,
2010–11,10,Sunderland,38,12,11,15,45,56,-11,47,
2010–11,11,West Bromwich Albion,38,12,11,15,56,71,-15,47,
2010–11,12,Newcastle United,38,11,13,14,56,57,-1,46,
2010–11,13,Stoke City,38,13,7,18,46,48,-2,46,2011–12 UEFA Europa League Third qualifying round[c]
2010–11,14,Bolton Wanderers,38,12,10,16,52,56,-4,46,
2010–11,15,Blackburn Rovers,38,11,10,17,46,59,-13,43,
2010–11,16,Wigan Athletic,38,9,15,14,40,61,-21,42,
2010–11,17,Wolverhampton Wanderers,38,11,7,20,46,66,-20,40,
2010–11,18,Birmingham City (R),38,8,15,15,37,58,-21,39,2011–12 UEFA Europa League Play-off round[a]Relegation to the 2011–12 Football League Championship
