year,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1994–95,1,Blackburn Rovers (C),42,27,8,7,80,39,41,89,Qualification for the Champions League group stage
1994–95,2,Manchester United,42,26,10,6,77,28,49,88,Qualification for the UEFA Cup first round[a]
1994–95,3,Nottingham Forest,42,22,11,9,72,43,29,77,Qualification for the UEFA Cup first round[a]
1994–95,4,Liverpool,42,21,11,10,65,37,28,74,Qualification for the UEFA Cup first round[a]
1994–95,5,Leeds United,42,20,13,9,59,38,21,73,Qualification for the UEFA Cup first round[a]
1994–95,6,Newcastle United,42,20,12,10,67,47,20,72,
1994–95,7,Tottenham Hotspur,42,16,14,12,66,58,8,62,
1994–95,8,Queens Park Rangers,42,17,9,16,61,59,2,60,
1994–95,9,Wimbledon,42,15,11,16,48,65,-17,56,
1994–95,10,Southampton,42,12,18,12,61,63,-2,54,
1994–95,11,Chelsea,42,13,15,14,50,55,-5,54,
1994–95,12,Arsenal,42,13,12,17,52,49,3,51,
1994–95,13,Sheffield Wednesday,42,13,12,17,49,57,-8,51,
1994–95,14,West Ham United,42,13,11,18,44,48,-4,50,
1994–95,15,Everton,42,11,17,14,44,51,-7,50,Qualification for the Cup Winners' Cup first round[b]
1994–95,16,Coventry City,42,12,14,16,44,62,-18,50,
1994–95,17,Manchester City,42,12,13,17,53,64,-11,49,
1994–95,18,Aston Villa,42,11,15,16,51,56,-5,48,
1994–95,19,Crystal Palace (R),42,11,12,19,34,49,-15,45,Relegation to the Football League First Division
1994–95,20,Norwich City (R),42,10,13,19,37,54,-17,43,Relegation to the Football League First Division
