year,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
2002–03,1,Manchester United (C),38,25,8,5,74,34,40,83,Qualification for the Champions League group stage
2002–03,2,Arsenal,38,23,9,6,85,42,43,78,Qualification for the Champions League group stage
2002–03,3,Newcastle United,38,21,6,11,63,48,15,69,Qualification for the Champions League third qualifying round
2002–03,4,Chelsea,38,19,10,9,68,38,30,67,Qualification for the Champions League third qualifying round
2002–03,5,Liverpool,38,18,10,10,61,41,20,64,Qualification for the UEFA Cup first round[a]
2002–03,6,Blackburn Rovers,38,16,12,10,52,43,9,60,Qualification for the UEFA Cup first round[a]
2002–03,7,Everton,38,17,8,13,48,49,-1,59,
2002–03,8,Southampton,38,13,13,12,43,46,-3,52,Qualification for the UEFA Cup first round[b]
2002–03,9,Manchester City,38,15,6,17,47,54,-7,51,Qualification for the UEFA Cup qualifying round[c]
2002–03,10,Tottenham Hotspur,38,14,8,16,51,62,-11,50,
2002–03,11,Middlesbrough,38,13,10,15,48,44,4,49,
2002–03,12,Charlton Athletic,38,14,7,17,45,56,-11,49,
2002–03,13,Birmingham City,38,13,9,16,41,49,-8,48,
2002–03,14,Fulham,38,13,9,16,41,50,-9,48,
2002–03,15,Leeds United,38,14,5,19,58,57,1,47,
2002–03,16,Aston Villa,38,12,9,17,42,47,-5,45,
2002–03,17,Bolton Wanderers,38,10,14,14,41,51,-10,44,
2002–03,18,West Ham United (R),38,10,12,16,42,59,-17,42,Relegation to Football League First Division
2002–03,19,West Bromwich Albion (R),38,6,8,24,29,65,-36,26,Relegation to Football League First Division
2002–03,20,Sunderland (R),38,4,7,27,21,65,-44,19,Relegation to Football League First Division
