year,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
2001–02,1,Arsenal (C),38,26,9,3,79,36,43,87,Qualification for the Champions League first group stage
2001–02,2,Liverpool,38,24,8,6,67,30,37,80,Qualification for the Champions League first group stage
2001–02,3,Manchester United,38,24,5,9,87,45,42,77,Qualification for the Champions League third qualifying round
2001–02,4,Newcastle United,38,21,8,9,74,52,22,71,Qualification for the Champions League third qualifying round
2001–02,5,Leeds United,38,18,12,8,53,37,16,66,Qualification for the UEFA Cup first round[b]
2001–02,6,Chelsea,38,17,13,8,66,38,28,64,Qualification for the UEFA Cup first round[b]
2001–02,7,West Ham United,38,15,8,15,48,57,-9,53,
2001–02,8,Aston Villa,38,12,14,12,46,47,-1,50,Qualification for the Intertoto Cup third round
2001–02,9,Tottenham Hotspur,38,14,8,16,49,53,-4,50,
2001–02,10,Blackburn Rovers,38,12,10,16,55,51,4,46,Qualification for the UEFA Cup first round[c]
2001–02,11,Southampton,38,12,9,17,46,54,-8,45,
2001–02,12,Middlesbrough,38,12,9,17,35,47,-12,45,
2001–02,13,Fulham,38,10,14,14,36,44,-8,44,Qualification for the Intertoto Cup second round
2001–02,14,Charlton Athletic,38,10,14,14,38,49,-11,44,
2001–02,15,Everton,38,11,10,17,45,57,-12,43,
2001–02,16,Bolton Wanderers,38,9,13,16,44,62,-18,40,
2001–02,17,Sunderland,38,10,10,18,29,51,-22,40,
2001–02,18,Ipswich Town (R),38,9,9,20,41,64,-23,36,Qualification for the UEFA Cup qualifying round[a]Relegation to the Football League First Division
