year,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1996–97,1,Manchester United (C),38,21,12,5,76,44,32,75,Qualification for the Champions League group stage
1996–97,2,Newcastle United,38,19,11,8,73,40,33,68,Qualification for the Champions League second qualifying round
1996–97,3,Arsenal,38,19,11,8,62,32,30,68,Qualification for the UEFA Cup first round[a]
1996–97,4,Liverpool,38,19,11,8,62,37,25,68,Qualification for the UEFA Cup first round[a]
1996–97,5,Aston Villa,38,17,10,11,47,34,13,61,Qualification for the UEFA Cup first round[a]
1996–97,6,Chelsea,38,16,11,11,58,55,3,59,Qualification for the Cup Winners' Cup first round[b]
1996–97,7,Sheffield Wednesday,38,14,15,9,50,51,-1,57,
1996–97,8,Wimbledon,38,15,11,12,49,46,3,56,
1996–97,9,Leicester City,38,12,11,15,46,54,-8,47,Qualification for the UEFA Cup first round[c]
1996–97,10,Tottenham Hotspur,38,13,7,18,44,51,-7,46,
1996–97,11,Leeds United,38,11,13,14,28,38,-10,46,
1996–97,12,Derby County,38,11,13,14,45,58,-13,46,
1996–97,13,Blackburn Rovers,38,9,15,14,42,43,-1,42,
1996–97,14,West Ham United,38,10,12,16,39,48,-9,42,
1996–97,15,Everton,38,10,12,16,44,57,-13,42,
1996–97,16,Southampton,38,10,11,17,50,56,-6,41,
1996–97,17,Coventry City,38,9,14,15,38,54,-16,41,
1996–97,18,Sunderland (R),38,10,10,18,35,53,-18,40,Relegation to the Football League First Division
1996–97,19,Middlesbrough (R),38,10,12,16,51,60,-9,39[d],Relegation to the Football League First Division
1996–97,20,Nottingham Forest (R),38,6,16,16,31,59,-28,34,Relegation to the Football League First Division
